,agg_net_price_per_unit,aggregator_name,disc_code,disc_percentage,e_backup_product_id,e_product_id,imprint,misc_product_ids,net_units,p_backup_product_id,p_product_id,pod,product_format,product_title,product_type,publisher_price,region_of_sale,revenue_value,sale_type,temp_transaction_date,tnf_net_price_per_unit,total_rental_duration,total_returns_count,total_returns_value,total_sales_count,total_sales_value,trans_currency,trans_type,transaction_date,vendor_code
34,40.57,FOLLETT,NA,0.31999999999999995,1351421522,9781351421522,TAYLOR &FRANCIS/ROUTLEDGE,NA,1,NA,NA,NA,NA,Probability; Random Signals; and Statistics (ebook) 1st,EBK,60.0,US,40.57,Sale,07-08-2020,40.8,0,0,-0.0,1,40.57,USD,SALE,07-08-2020,TAYL
35,40.57,FOLLETT,NA,0.31999999999999995,1351421522,9781351421522,TAYLOR &FRANCIS/ROUTLEDGE,NA,1,NA,NA,NA,NA,Probability; Random Signals; and Statistics (ebook) 1st,EBK,60.0,US,40.57,Sale,07-08-2020,40.8,0,0,-0.0,1,40.57,USD,SALE,07-08-2020,TAYL
36,40.57,FOLLETT,NA,0.31999999999999995,1351421522,9781351421522,TAYLOR &FRANCIS/ROUTLEDGE,NA,1,NA,NA,NA,NA,Probability; Random Signals; and Statistics (ebook) 1st,EBK,60.0,US,40.57,Sale,07-08-2020,40.8,0,0,-0.0,1,40.57,USD,SALE,07-08-2020,TAYL
37,65.07,FOLLETT,NA,-0.25,1317428188,9781317428183,TAYLOR &FRANCIS/ROUTLEDGE,NA,1,NA,NA,NA,NA,Cultural Anthropology (ebook) 3rd,EBK,52.15,US,65.07,Sale,07-08-2020,65.19,0,0,-0.0,1,65.07,USD,SALE,07-08-2020,TAYL
38,65.07,FOLLETT,NA,-0.25,1317428188,9781317428183,TAYLOR &FRANCIS/ROUTLEDGE,NA,1,NA,NA,NA,NA,Cultural Anthropology (ebook) 3rd,EBK,52.15,US,65.07,Sale,07-08-2020,65.19,0,0,-0.0,1,65.07,USD,SALE,07-08-2020,TAYL
39,40.57,FOLLETT,NA,0.31999999999999995,1351421522,9781351421522,TAYLOR &FRANCIS/ROUTLEDGE,NA,1,NA,NA,NA,NA,Probability; Random Signals; and Statistics (ebook) 1st,EBK,60.0,US,40.57,Sale,07-08-2020,40.8,0,0,-0.0,1,40.57,USD,SALE,07-08-2020,TAYL
40,65.07,FOLLETT,NA,-0.25,1317428188,9781317428183,TAYLOR &FRANCIS/ROUTLEDGE,NA,1,NA,NA,NA,NA,Cultural Anthropology (ebook) 3rd,EBK,52.15,US,65.07,Sale,07-08-2020,65.19,0,0,-0.0,1,65.07,USD,SALE,07-08-2020,TAYL
41,65.07,FOLLETT,NA,-0.08000000000000007,1317428188,9781317428183,TAYLOR &FRANCIS/ROUTLEDGE,NA,1,NA,NA,NA,NA,Cultural Anthropology (ebook) 3rd,EBK,60.0,US,65.07,Sale,07-08-2020,64.8,0,0,-0.0,1,65.07,USD,SALE,07-08-2020,TAYL
42,27.27,FOLLETT,NA,0.47,1135470146,9781135470142,TAYLOR &FRANCIS/ROUTLEDGE,NA,1,NA,NA,NA,NA,The Dramatic Imagination (ebook) 1st,EBK,51.53,US,27.27,Sale,07-08-2020,27.31,0,0,-0.0,1,27.27,USD,SALE,07-08-2020,TAYL
43,32.87,FOLLETT,NA,0.44999999999999996,1351865986,9781351865982,TAYLOR &FRANCIS/ROUTLEDGE,NA,1,NA,NA,NA,NA,Fundamentals of Qualitative Research (ebook) 1st,EBK,60.0,US,32.87,Sale,07-08-2020,33.0,0,0,-0.0,1,32.87,USD,SALE,07-08-2020,TAYL
44,65.07,FOLLETT,NA,-0.25,1317428188,9781317428183,TAYLOR &FRANCIS/ROUTLEDGE,NA,1,NA,NA,NA,NA,Cultural Anthropology (ebook) 3rd,EBK,52.15,US,65.07,Sale,07-08-2020,65.19,0,0,-0.0,1,65.07,USD,SALE,07-08-2020,TAYL
45,65.07,FOLLETT,NA,-0.25,1317428188,9781317428183,TAYLOR &FRANCIS/ROUTLEDGE,NA,1,NA,NA,NA,NA,Cultural Anthropology (ebook) 3rd,EBK,52.15,US,65.07,Sale,07-08-2020,65.19,0,0,-0.0,1,65.07,USD,SALE,07-08-2020,TAYL
46,65.07,FOLLETT,NA,-0.08000000000000007,1317428188,9781317428183,TAYLOR &FRANCIS/ROUTLEDGE,NA,1,NA,NA,NA,NA,Cultural Anthropology (ebook) 3rd,EBK,60.0,US,65.07,Sale,07-08-2020,64.8,0,0,-0.0,1,65.07,USD,SALE,07-08-2020,TAYL
47,27.27,FOLLETT,NA,-0.16999999999999993,1136043462,9781136043468,TAYLOR &FRANCIS/ROUTLEDGE,NA,1,NA,NA,NA,NA,The Visual Story (ebook) 2nd,EBK,23.39,US,27.27,Sale,07-08-2020,27.37,0,0,-0.0,1,27.27,USD,SALE,07-08-2020,TAYL
48,42.67,FOLLETT,NA,-0.16999999999999993,429866666,9780429866661,TAYLOR &FRANCIS/ROUTLEDGE,NA,1,NA,NA,NA,NA,Motion Picture and Video Lighting (ebook) 3rd,EBK,36.61,US,42.67,Sale,07-08-2020,42.83,0,0,-0.0,1,42.67,USD,SALE,07-08-2020,TAYL
49,32.87,FOLLETT,NA,0.44999999999999996,1351865986,9781351865982,TAYLOR &FRANCIS/ROUTLEDGE,NA,1,NA,NA,NA,NA,Fundamentals of Qualitative Research (ebook) 1st,EBK,60.0,US,32.87,Sale,07-08-2020,33.0,0,0,-0.0,1,32.87,USD,SALE,07-08-2020,TAYL
50,65.07,FOLLETT,NA,-0.08000000000000007,1317428188,9781317428183,TAYLOR &FRANCIS/ROUTLEDGE,NA,1,NA,NA,NA,NA,Cultural Anthropology (ebook) 3rd,EBK,60.0,US,65.07,Sale,07-08-2020,64.8,0,0,-0.0,1,65.07,USD,SALE,07-08-2020,TAYL
51,48.97,FOLLETT,NA,0.18000000000000005,1351033530,9781351033534,TAYLOR &FRANCIS/ROUTLEDGE,NA,1,NA,NA,NA,NA,Tourism Policy and Planning (ebook) 3rd,EBK,60.0,US,48.97,Sale,07-08-2020,49.2,0,0,-0.0,1,48.97,USD,SALE,07-08-2020,TAYL
52,31.47,FOLLETT,NA,0.48,1351015389,9781351015387,TAYLOR &FRANCIS/ROUTLEDGE,NA,1,NA,NA,NA,NA,Pop Culture Freaks (ebook) 2nd,EBK,60.0,US,31.47,Sale,07-08-2020,31.2,0,0,-0.0,1,31.47,USD,SALE,07-08-2020,TAYL
53,65.07,FOLLETT,NA,-0.25,1317428188,9781317428183,TAYLOR &FRANCIS/ROUTLEDGE,NA,1,NA,NA,NA,NA,Cultural Anthropology (ebook) 3rd,EBK,52.15,US,65.07,Sale,07-08-2020,65.19,0,0,-0.0,1,65.07,USD,SALE,07-08-2020,TAYL
54,40.57,FOLLETT,NA,0.31999999999999995,1351421522,9781351421522,TAYLOR &FRANCIS/ROUTLEDGE,NA,1,NA,NA,NA,NA,Probability; Random Signals; and Statistics (ebook) 1st,EBK,60.0,US,40.57,Sale,07-08-2020,40.8,0,0,-0.0,1,40.57,USD,SALE,07-08-2020,TAYL
55,40.57,FOLLETT,NA,0.31999999999999995,1351421522,9781351421522,TAYLOR &FRANCIS/ROUTLEDGE,NA,1,NA,NA,NA,NA,Probability; Random Signals; and Statistics (ebook) 1st,EBK,60.0,US,40.57,Sale,07-08-2020,40.8,0,0,-0.0,1,40.57,USD,SALE,07-08-2020,TAYL
56,65.07,FOLLETT,NA,-0.25,1317428188,9781317428183,TAYLOR &FRANCIS/ROUTLEDGE,NA,1,NA,NA,NA,NA,Cultural Anthropology (ebook) 3rd,EBK,52.15,US,65.07,Sale,07-08-2020,65.19,0,0,-0.0,1,65.07,USD,SALE,07-08-2020,TAYL
57,48.97,FOLLETT,NA,0.18000000000000005,1351033530,9781351033534,TAYLOR &FRANCIS/ROUTLEDGE,NA,1,NA,NA,NA,NA,Tourism Policy and Planning (ebook) 3rd,EBK,60.0,US,48.97,Sale,07-08-2020,49.2,0,0,-0.0,1,48.97,USD,SALE,07-08-2020,TAYL
58,31.47,FOLLETT,NA,0.48,1351015389,9781351015387,TAYLOR &FRANCIS/ROUTLEDGE,NA,1,NA,NA,NA,NA,Pop Culture Freaks (ebook) 2nd,EBK,60.0,US,31.47,Sale,07-08-2020,31.2,0,0,-0.0,1,31.47,USD,SALE,07-08-2020,TAYL
59,42.67,FOLLETT,NA,-0.16999999999999993,429866666,9780429866661,TAYLOR &FRANCIS/ROUTLEDGE,NA,1,NA,NA,NA,NA,Motion Picture and Video Lighting (ebook) 3rd,EBK,36.61,US,42.67,Sale,07-08-2020,42.83,0,0,-0.0,1,42.67,USD,SALE,07-08-2020,TAYL
60,27.27,FOLLETT,NA,-0.16999999999999993,1136043462,9781136043468,TAYLOR &FRANCIS/ROUTLEDGE,NA,1,NA,NA,NA,NA,The Visual Story (ebook) 2nd,EBK,23.39,US,27.27,Sale,07-08-2020,27.37,0,0,-0.0,1,27.27,USD,SALE,07-08-2020,TAYL
61,36.37,FOLLETT,NA,0.39,1317300130,9781317300137,TAYLOR &FRANCIS/ROUTLEDGE,NA,1,NA,NA,NA,NA,Stage Management (ebook) 11th,EBK,60.0,US,36.37,Sale,07-08-2020,36.6,0,0,-0.0,1,36.37,USD,SALE,07-08-2020,TAYL
62,65.07,FOLLETT,NA,-0.25,1317428188,9781317428183,TAYLOR &FRANCIS/ROUTLEDGE,NA,1,NA,NA,NA,NA,Cultural Anthropology (ebook) 3rd,EBK,52.15,US,65.07,Sale,07-08-2020,65.19,0,0,-0.0,1,65.07,USD,SALE,07-08-2020,TAYL
63,30.77,FOLLETT,NA,0.08999999999999997,1135127077,9781135127077,TAYLOR &FRANCIS/ROUTLEDGE,NA,1,NA,NA,NA,NA,My Father's Wars (ebook) 1st,EBK,33.88,US,30.77,Sale,07-08-2020,30.83,0,0,-0.0,1,30.77,USD,SALE,07-08-2020,TAYL
64,36.37,FOLLETT,NA,0.39,1317300130,9781317300137,TAYLOR &FRANCIS/ROUTLEDGE,NA,1,NA,NA,NA,NA,Stage Management (ebook) 11th,EBK,60.0,US,36.37,Sale,07-08-2020,36.6,0,0,-0.0,1,36.37,USD,SALE,07-08-2020,TAYL
65,45.47,FOLLETT,NA,0.17000000000000004,1317808932,9781317808930,TAYLOR &FRANCIS/ROUTLEDGE,NA,1,NA,NA,NA,NA,Voice & Vision (ebook) 3rd,EBK,54.62,US,45.47,Sale,07-08-2020,45.33,0,0,-0.0,1,45.47,USD,SALE,07-08-2020,TAYL
