,agg_net_price_per_unit,aggregator_name,disc_code,disc_percentage,e_backup_product_id,e_product_id,imprint,misc_product_ids,net_units,p_backup_product_id,p_product_id,pod,product_format,product_title,product_type,publisher_price,region_of_sale,revenue_value,sale_type,temp_transaction_date,tnf_net_price_per_unit,total_rental_duration,total_returns_count,total_returns_value,total_sales_count,total_sales_value,trans_currency,trans_type,transaction_date,vendor_code
21,46.75,GOOGLE,NA,0.19999999999999996,NA,9781317031833,CRC Press,NA,1,NA,NA,NA,NA,The Field Guide to Understanding 'Human Error',EBK,58.44,CA,46.75,PURCHASE,31-10-2019,46.75,0,0,0.0,1,46.75,CAD,SALE,31-10-2019,NA
22,56.11,GOOGLE,NA,0.19999999999999996,NA,9781135068417,Routledge,NA,1,NA,NA,NA,NA,Youth Resistance Research and Theories of Change,EBK,70.14,CA,56.11,PURCHASE,31-10-2019,56.11,0,0,0.0,1,56.11,CAD,SALE,31-10-2019,NA
23,87.31,GOOGLE,NA,0.19999999999999996,NA,9781351576314,Routledge,NA,1,NA,NA,NA,NA,Applied Ethics: A Multicultural Approach,EBK,109.14,CA,87.31,PURCHASE,31-10-2019,87.31,0,0,0.0,1,87.31,CAD,SALE,31-10-2019,NA
24,39.18,GOOGLE,NA,0.19999999999999996,NA,9780429861628,Routledge,NA,1,NA,NA,NA,NA,Jungian Music Psychotherapy: When Psyche Sings,EBK,48.97,CA,39.18,PURCHASE,31-10-2019,39.18,0,0,0.0,1,39.18,CAD,SALE,31-10-2019,NA
25,56.11,GOOGLE,NA,0.19999999999999996,NA,9781136520112,Routledge,NA,1,NA,NA,NA,NA,Multiculturalism: A Critical Introduction,EBK,70.14,CA,56.11,PURCHASE,31-10-2019,56.11,0,0,0.0,1,56.11,CAD,SALE,31-10-2019,NA
26,46.75,GOOGLE,NA,0.19999999999999996,NA,9780429603907,Routledge,NA,1,NA,NA,NA,NA,"Witch-Hunting in Scotland: Law, Politics and Religion",EBK,58.44,CA,46.75,PURCHASE,31-10-2019,46.75,0,0,0.0,1,46.75,CAD,SALE,31-10-2019,NA
27,48.83,GOOGLE,NA,0.19999999999999996,NA,9781135127640,Routledge,NA,1,NA,NA,NA,NA,The White Racial Frame: Centuries of Racial Framing and Counter-Framing,EBK,61.04,CA,48.83,PURCHASE,31-10-2019,48.83,0,0,0.0,1,48.83,CAD,SALE,31-10-2019,NA
28,26.78,GOOGLE,NA,0.19999999999999996,NA,9780202369471,Transaction Publishers,NA,1,NA,NA,NA,NA,The Arid Zones,EBK,33.48,CA,26.78,PURCHASE,31-10-2019,26.78,0,0,0.0,1,26.78,CAD,SALE,31-10-2019,NA
29,65.47,GOOGLE,NA,0.19999999999999996,NA,9781317237655,Routledge,NA,1,NA,NA,NA,NA,Modern Brazilian Portuguese Grammar: A Practical Guide,EBK,81.84,CA,65.47,PURCHASE,31-10-2019,65.47,0,0,0.0,1,65.47,CAD,SALE,31-10-2019,NA
30,48.83,GOOGLE,NA,0.19999999999999996,NA,9781136779039,Routledge,NA,1,NA,NA,NA,NA,In Their Time: A History of Feminism in Western Society,EBK,61.04,CA,48.83,PURCHASE,31-10-2019,48.83,0,0,0.0,1,48.83,CAD,SALE,31-10-2019,NA
